Generator,bus,carrier,p_nom,marginal_cost,gen_MWh,share_%
Salitrillos,SIN,onwind,99.0,0.0,42449.966163792,0.1196416877290369
CE GEN 37,SIN,onwind,99.0,0.0,42449.966163792,0.1196416877290369
Villanueva solar 1,SIN,solar,250.0,0.0,41861.45978999999,0.11798303161779063
Parque solar don jose,SIN,solar,250.0,0.0,41861.45978999999,0.11798303161779063
CENGEN 48,SIN,solar,250.0,0.0,41861.45978999999,0.11798303161779063
CENGEN 50,SIN,solar,250.0,0.0,41861.45978999999,0.11798303161779063
Tres mesas IV,SIN,onwind,96.0,0.0,41163.603552768,0.1160161820402782
CENGEN 49,SIN,onwind,96.0,0.0,41163.603552768,0.1160161820402782
C.H Cupatitzio,SIN,hydro,80.0,0.0,40416.54490944,0.11391065958649207
D.E.M de oaxaca,SIN,onwind,90.0,0.0,38590.87833072,0.10876517066276081
La bufa,SIN,onwind,90.0,0.0,38590.87833072,0.10876517066276081
Ingenio la gloria,SIN,biomass,45.0,0.0,38556.0,0.10866686899777453
Pier 1,SIN,onwind,87.0,0.0,37304.515719696006,0.10513966497400214
Eolica tres mesas 2,SIN,onwind,86.0,0.0,36875.728182688,0.10393116307774922
La Magdalena 2,SIN,solar,220.0,0.0,36838.0846152,0.10382506782365578
P.E La venta 2,SIN,onwind,83.3,0.0,35718.0018327664,0.1006682079578664
Kaltex,SIN,chp,36.0,29.87,34473.59999999999,0.09716096522153955
C.H Santa rosa,SIN,hydro,68.0,0.0,34354.063173024,0.09682406064851824
P.E Fuerza eolica del istmo,SIN,onwind,80.0,0.0,34303.00296064,0.09668015170023184
Geo domo san pedro,SIN,geothermal,35.0,0.0,33516.0,0.09446204952094127
Navojoa solar,SIN,solar,200.0,0.0,33489.167832,0.09438642529423252
Central los cuervos,SIN,solar,200.0,0.0,33489.167832,0.09438642529423252
CENGEN 53,SIN,solar,200.0,0.0,33489.167832,0.09438642529423252
CENGEN27,SIN,solar,200.0,0.0,33489.167832,0.09438642529423252
Cuyoaco,SIN,solar,200.0,0.0,33489.167832,0.09438642529423252
Central baja california sur,BCS,solar_thermal,209.6,0.0,32425.4001199248,0.09138828475548011
P.E El retiro,SIN,onwind,74.0,0.0,31730.277738591998,0.08942914032271444
P.E Stipa Nayaa,SIN,onwind,74.0,0.0,31730.277738591998,0.08942914032271444
C.H Cobano,SIN,hydro,60.0,0.0,30312.408682079993,0.08543299468986904
RMSC Comercio Altair Alaia II-V,SIN,solar,180.0,0.0,30140.251048799997,0.08494778276480926
AT Solar V,SIN,solar,180.0,0.0,30140.251048799997,0.08494778276480926
P.E Zopiloapan,SIN,onwind,70.0,0.0,30015.12759056,0.08459513273770286
P.E Dos arbolitos,SIN,onwind,70.0,0.0,30015.12759056,0.08459513273770286
C.H El fuerte,SIN,hydro,59.4,0.0,30009.284595259196,0.08457866474297034
P.E Electrica del valle de mexico,SIN,onwind,67.5,0.0,28943.15874804,0.08157387799707061
Cerro prieto uno,BCA,geothermal,30.0,0.0,28728.0,0.08096747101794965
Fotovoltaica Santiago,SIN,solar,170.0,0.0,28465.7926572,0.08022846150009764
Pier 2 Quecolac Felipe Angeles,SIN,onwind,66.0,0.0,28299.977442527997,0.07976112515269125
Amistad,SIN,onwind,66.0,0.0,28299.977442527997,0.07976112515269125
Salamanca cogeneracion,SIN,chp,393.0,29.87,27290.566493542934,0.07691618461533575
El porvenir,SIN,hydro,54.0,0.0,27281.167813871998,0.07688969522088213
Eolica tres mesas,SIN,onwind,63.0,0.0,27013.614831504005,0.07613561946393259
Eolica de Guanajuato,SIN,onwind,63.0,0.0,27013.614831504005,0.07613561946393259
C.C Bajio,SIN,gas_ccgt,643.0,29.87,26060.305170009546,0.07344879572443858
C.H Colimilla,SIN,hydro,51.2,0.0,25866.5887420416,0.07290282213535493
Los Humeros U-11,SIN,geothermal,27.0,0.0,25855.19999999999,0.07287072391615466
Los Humeros 3 Fase A,SIN,geothermal,27.0,0.0,25855.19999999999,0.07287072391615466
Tres Valles,SIN,biomass,30.0,0.0,25704.0,0.0724445793318497
Bio papel printing,SIN,biomass,30.0,0.0,25704.0,0.0724445793318497
Aguas tratadas del valle de mexico,SIN,biogas,29.9,0.0,25618.32,0.07220309740074353
CEAUT 8,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
CENGEN 64,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
Helios generacion,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
Tuli Energia,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
Solem 2,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
BNB Villa ahumada solar,SIN,solar,150.0,0.0,25116.875874,0.07078981897067439
Azufres F59,SIN,geothermal,26.0,0.0,24897.59999999999,0.07017180821555634
Azufres F58,SIN,geothermal,26.0,0.0,24897.59999999999,0.07017180821555634
Azufres F51 - U13,SIN,geothermal,26.0,0.0,24897.59999999999,0.07017180821555634
Azufres F51 - U16,SIN,geothermal,26.0,0.0,24897.59999999999,0.07017180821555634
Santa maria solar,SIN,solar,148.0,0.0,24781.98419568,0.06984595471773206
Azufres 3 fase 2,SIN,geothermal,25.0,0.0,23940.0,0.06747289251495804
Solem 1,SIN,solar,140.0,0.0,23442.417482399997,0.06607049770596275
Tuto energy dos,SIN,solar,137.5,0.0,23023.8028845,0.06489066738978486
DuPont,SIN,chp,24.0,29.87,22982.40000000001,0.06477397681435974
Ixtapantongo,SIN,hydro,45.0,0.0,22734.306511559997,0.06407474601740178
Compania eoloeletrica de ciudad victoria,SIN,onwind,50.0,0.0,21439.3768504,0.0604250948126449
P.E Los altos,SIN,onwind,50.0,0.0,21439.3768504,0.0604250948126449
Eolica la mesa,SIN,onwind,50.0,0.0,21439.3768504,0.0604250948126449
P.E Ingenio,SIN,onwind,49.5,0.0,21224.983081896,0.05982084386451845
Eolica tres mesas 3,SIN,onwind,49.5,0.0,21224.983081896,0.05982084386451845
Tingambato,SIN,hydro,42.0,0.0,21218.686077456,0.05980309628290833
Planta solar orejana,SIN,solar,125.0,0.0,20930.729894999997,0.05899151580889531
Don diego solar,SIN,solar,125.0,0.0,20930.729894999997,0.05899151580889531
CENGEN 62,SIN,onwind,48.0,0.0,20581.801776384,0.0580080910201391
Tuxpango,SIN,hydro,39.0,0.0,19703.065643352005,0.05553144654841489
CEAUT 19,SIN,solar,117.0,0.0,19591.16318172,0.05521605879712602
Praxair,SIN,chp,20.0,29.87,19152.0,0.053978314011966434
Emerging energy,SIN,solar,111.0,0.0,18586.48814676,0.05238446603829904
Pima solar uno,SIN,solar,110.0,0.0,18419.0423076,0.05191253391182789
C.H Palta,SIN,hydro,36.0,0.0,18187.445209248,0.05125979681392142
Cruces,SIN,hydro,36.0,0.0,18187.445209248,0.05125979681392142
PEMEX,SIN,chp,19.5,29.87,17067.916870979017,0.0481044996027488
Fotovoltaica Guajiro,SIN,solar,101.4,0.0,16979.008090824,0.04785391762417589
Laguna solar,SIN,solar,101.0,0.0,16912.02975516,0.04766514477358742
Ibedrola renovables noroeste (hermosillo foltovoltaico),SIN,solar,100.0,0.0,16744.583916,0.04719321264711626
AK Green power park,SIN,solar,100.0,0.0,16744.583916,0.04719321264711626
Akin solar,SIN,solar,100.0,0.0,16744.583916,0.04719321264711626
CENGEN 5,SIN,solar,100.0,0.0,16744.583916,0.04719321264711626
Tepezala solar,SIN,solar,100.0,0.0,16744.583916,0.04719321264711626
Solar abril 99,SIN,solar,99.0,0.0,16577.138076839998,0.046721280520645087
Atexaco,SIN,hydro,32.0,0.0,16166.617963775998,0.045564263834596816
Falcon mexicano,SIN,hydro,31.5,0.0,15914.014558092002,0.04485232221218125
Horus solar,SIN,solar,95.0,0.0,15907.3547202,0.04483355201476045
C.H El Gallo,SIN,hydro,30.0,0.0,15156.204341039997,0.04271649734493452
Chilapan,SIN,hydro,30.0,0.0,15156.204341039997,0.04271649734493452
Planta hidroelectrica de veracruz,SIN,hydro,30.0,0.0,15156.204341039997,0.04271649734493452
"La trinidad solar 1 y 3, Tai durango 6",SIN,solar,90.0,0.0,15070.125524399999,0.04247389138240463
Energia renovable de la peninsula,SIN,solar,90.0,0.0,15070.125524399999,0.04247389138240463
BlueMex power 1,SIN,solar,90.0,0.0,15070.125524399999,0.04247389138240463
CENGEN 47,SIN,solar,89.0,0.0,14902.67968524,0.042001959255933474
Generadora electrica san rafael,SIN,hydro,28.8,0.0,14549.956167398399,0.04100783745113713
CENGEN 58,SIN,solar,86.0,0.0,14400.342167760002,0.040586162876519984
Central Geotermoelectrica humeros,SIN,geothermal,15.0,0.0,14364.0,0.04048373550897483
C.C Zinc nacional,SIN,gas_ccgt,15.0,29.87,14121.75,0.03980097409662108
Andalucia 2,SIN,solar,83.0,0.0,13898.00465028,0.0391703664971065
Calera,SIN,solar,80.0,0.0,13395.667132800001,0.03775457011769301
Los pinos,SIN,onwind,30.0,0.0,12863.626110239999,0.036255056887586935
La venta,SIN,onwind,30.0,0.0,12863.626110239999,0.036255056887586935
Ingenio san nicolas,SIN,biomass,15.0,0.0,12852.0,0.03622228966592485
C.H Boquilla,SIN,hydro,25.0,0.0,12630.1702842,0.035597081120778765
COG Enerkin,SIN,chp,13.1,29.87,12544.559999999998,0.03535579567783801
Eolica de Arraiga,SIN,onwind,28.8,0.0,12349.0810658304,0.03480485461208346
CENGEN 39,SIN,solar,70.0,0.0,11721.208741199998,0.033035248852981376
Parque solar xoxocotla,SIN,solar,70.0,0.0,11721.208741199998,0.033035248852981376
P.E Bii Nee Stipa,SIN,onwind,26.4,0.0,11319.990977011199,0.031904450061076506
"Versalles de las cuatas 1,2 y 3",SIN,solar,65.0,0.0,10883.979545400001,0.03067558822062557
La venta PEMEX,SIN,onwind,24.8,0.0,10633.9309177984,0.02997084702707187
Cecilio del valle,SIN,hydro,21.0,0.0,10609.343038728,0.029901548141454164
Ingenio huixtla,SIN,biomass,12.0,0.0,10281.599999999999,0.02897783173273987
Fotovoltaica aguascalientes potencia,SIN,solar,60.0,0.0,10046.750349599999,0.02831592758826975
Tampico 2,SIN,solar,60.0,0.0,10046.750349599999,0.02831592758826975
El rollo solar juarez renovables,SIN,solar,60.0,0.0,10046.750349599999,0.02831592758826975
C.H Oviachic,SIN,hydro,19.2,0.0,9699.9707782656,0.027338558300758094
C.H Chilatan,SIN,hydro,19.0,0.0,9598.929415992,0.02705378165179186
Basf,SIN,chp,10.0,29.87,9576.0,0.026989157005983217
Rancho el trece,SIN,gas_ccgt,13.0,29.87,9509.499999999998,0.026801732304552774
Eolica santa catarina maniobras,SIN,onwind,22.0,0.0,9433.325814176,0.026587041717563754
P.E Bii Stinu 1,SIN,onwind,22.0,0.0,9433.325814176,0.026587041717563754
El salto,SIN,hydro,18.0,0.0,9093.722604624,0.02562989840696071
C.H Botello,SIN,hydro,18.0,0.0,9093.722604624,0.02562989840696071
Refineria PEMEX,SIN,chp,142.8,29.87,8722.811644625974,0.02458451681395458
Generadores eolicos de mexico,SIN,onwind,20.0,0.0,8575.75074016,0.02417003792505796
CEAUT 22,SIN,solar,50.0,0.0,8372.291958,0.02359660632355813
Complejo Petroquimico Cosoleacaque,SIN,solar,48.0,0.0,8037.4002796800005,0.022652742070615805
CENGEN 45,BCS,solar,50.0,0.0,7735.066822499999,0.021800640447391835
Hidroelectrica solis,SIN,hydro,15.0,0.0,7578.102170519998,0.02135824867246726
C.H Minas,SIN,hydro,15.0,0.0,7578.102170519998,0.02135824867246726
Lamosa energia de monterrey,SIN,chp,7.9,29.87,7234.819999999999,0.020390736517337874
C.H Salanola,SIN,hydro,14.0,0.0,7072.895359152,0.01993436542763611
CENGEN 55,SIN,solar,40.0,0.0,6697.833566400001,0.018877285058846505
SEDENA,SIN,onwind,15.0,0.0,6431.813055119999,0.018127528443793468
Parras cone,SIN,gas_ccgt,8.0,29.87,6125.5999999999985,0.017264492497478152
PROENERMEX Santa gertrudis,SIN,hydro,12.0,0.0,6062.481736416001,0.01708659893797381
Bafar,SIN,chp,8.0,29.87,5844.648031518238,0.016472652816139983
CENGEN 22 (Repotenciacion),SIN,gas_ccgt,242.0,29.87,5829.485069633911,0.016429917273223123
CE GEN 4,SIN,onwind,12.3,0.0,5274.0867051984005,0.014864573323910649
Rumorosa solar,BCA,solar,41.0,0.0,5162.5328490876,0.014550168088196648
C.C El Sauz,SIN,gas_ccgt,333.0,29.87,5081.009652240788,0.01432040175994599
Central Hidroelectrica Encanto,SIN,hydro,10.0,0.0,5052.06811368,0.01423883244831151
Mexsolar 1,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
CEAUT 23,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Pollux energy proyect,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Mexsolar 2,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Photoemeris sustentable,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Salsipuedes solar,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Tampico 1,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Ahumada 3,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
CENGEN 43,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Ahumada 1,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
"TAI DURANGO 2,3,4",SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Aguascalientes sur 1,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Ahumada 5,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Ahumada IV,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Avant,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Sol de los manzanos,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Ahumada 2,SIN,solar,30.0,0.0,5023.3751747999995,0.014157963794134875
Central Mocuzari,SIN,hydro,9.6,0.0,4849.9853891328,0.013669279150379047
C.H Puente grande,SIN,hydro,9.5,0.0,4799.464707996,0.01352689082589593
Aura solar,BCS,solar,30.0,0.0,4641.0400935,0.013080384268435101
CEPP3,BCS,solar,30.0,0.0,4641.0400935,0.013080384268435101
CEAUT 26,SIN,gas_ccgt,80.0,29.87,4615.852980394906,0.013009396491688982
C.H Trojes,SIN,hydro,8.6,0.0,4344.7785777648,0.012245395905547895
CE AUT2,SIN,onwind,10.0,0.0,4287.87537008,0.01208501896252898
C.H Zumpimito,SIN,hydro,8.4,0.0,4243.737215491199,0.011960619256581664
Hidroelectrica arcoiris,SIN,hydro,8.4,0.0,4243.737215491199,0.011960619256581664
Parque solar mi ranchito sur,SIN,solar,25.0,0.0,4186.145979,0.011798303161779065
TAI Durango 5,SIN,solar,25.0,0.0,4186.145979,0.011798303161779065
Hidroelectrica Trigomil,SIN,hydro,8.0,0.0,4041.6544909439995,0.011391065958649204
Colotlipa,SIN,hydro,8.0,0.0,4041.6544909439995,0.011391065958649204
Aura solar tres,BCS,solar,25.0,0.0,3867.5334112499995,0.010900320223695917
CEAUT 25,SIN,chp,64.0,29.87,3819.79139372192,0.010765763330750246
Parque eolico rumorosa,BCA,onwind,10.0,0.0,3782.14798435,0.010659668522293766
CE AUT 33,BCA,solar,30.0,0.0,3777.4630603079995,0.010646464454778033
Union energetica del noroeste (Etapa 1),SIN,chp,17.4,29.87,3577.0859357377763,0.010081718248070306
C.H Alameda,SIN,hydro,6.99,0.0,3531.3956114623197,0.009952943881369742
Energia solar san ignacio,SIN,solar,20.0,0.0,3348.9167832000003,0.009438642529423252
